"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.60493320533188e-18,0.679402060255122,0.346,0.15,4.9544288048595e-14,"12","UBXN6"
1.625527178009e-18,0.510745687429991,0.568,0.292,5.01800239851377e-14,"12","ACOT9"
1.74687095900255e-18,0.484576595020625,0.597,0.312,5.39259065044088e-14,"12","SNX8"
1.80752787836403e-18,0.560404736755225,0.632,0.351,5.57983856050977e-14,"12","ATP6V1A"
1.86483845110832e-18,0.642260354544394,0.895,0.645,5.75675629857137e-14,"12","TPI1"
1.96396141840464e-18,0.600422048478033,0.581,0.301,6.06274889861513e-14,"12","NENF"
1.96657360133382e-18,0.581649536964293,0.422,0.197,6.07081270731749e-14,"12","ACSL5"
1.9900468212306e-18,0.550814228047377,0.451,0.211,6.14327453713886e-14,"12","ORMDL2"
2.05806620238175e-18,1.13449129937131,0.295,0.122,6.35325036675246e-14,"12","RHOU"
2.0623375911927e-18,0.58254806880608,0.797,0.517,6.36643614401188e-14,"12","CLTA"
2.13619984945055e-18,0.368056104506481,0.483,0.235,6.59444893525384e-14,"12","SMIM4"
2.44015891307529e-18,0.54692545940242,0.276,0.108,7.53277056466341e-14,"12","TFE3"
2.64794155253152e-18,0.645613097638003,0.511,0.261,8.1741955726648e-14,"12","CYC1"
2.65193362708975e-18,0.412323264745462,0.663,0.357,8.18651910682605e-14,"12","FAM120A"
2.80724898760092e-18,0.687016098013883,0.521,0.269,8.66597762472404e-14,"12","TIMM13"
2.8187646159576e-18,0.922924030312497,0.311,0.133,8.70152636946111e-14,"12","ISOC2"
2.81975088073202e-18,0.721581812869078,0.387,0.178,8.70457096881975e-14,"12","MRPL12"
2.83498867026159e-18,0.44771202615117,0.406,0.185,8.75161002509754e-14,"12","TPST2"
2.93366264327446e-18,0.521535252649954,0.489,0.238,9.05621657978825e-14,"12","UQCC2"
2.97955122386544e-18,0.749545811977198,0.279,0.111,9.19787462807261e-14,"12","STYXL1"
3.37529061626422e-18,0.826592030567574,0.403,0.205,1.04195221324076e-13,"12","CCL20"
3.38025241584456e-18,0.865339481520403,0.289,0.116,1.04348392077122e-13,"12","WDR91"
3.42655899114337e-18,0.812880774248864,0.346,0.153,1.05777876056596e-13,"12","BTK"
3.49048016947894e-18,0.849025881621965,0.263,0.103,1.07751122831815e-13,"12","CAMKK2"
3.55632606113996e-18,0.802497340791028,0.746,0.468,1.0978378550739e-13,"12","TXNRD1"
3.81833166174302e-18,0.400552257155621,0.549,0.271,1.17871898398007e-13,"12","GLRX3"
3.86738589111533e-18,0.838082820571557,0.378,0.177,1.1938620245873e-13,"12","HLA-DQA2"
3.87951538369575e-18,0.540147743266333,0.346,0.15,1.19760639894688e-13,"12","TPCN1"
3.89207677812444e-18,0.750851873164443,0.746,0.491,1.20148410140701e-13,"12","STK10"
3.93823768577917e-18,0.67230156681979,0.403,0.187,1.21573397360003e-13,"12","HSD17B12"
4.06668174082225e-18,0.514888953780547,0.67,0.375,1.25538465339183e-13,"12","LMAN2"
4.18780943841172e-18,0.609805335219003,0.584,0.32,1.2927767736377e-13,"12","ATP6V1D"
4.21123905105361e-18,0.482183873443197,0.486,0.234,1.30000949506025e-13,"12","PSMC2"
4.39416612712827e-18,0.604317871593067,0.302,0.122,1.3564790834445e-13,"12","LYL1"
4.55768955540663e-18,0.536792508484413,0.838,0.626,1.40695876575403e-13,"12","COX6B1"
4.5773839755769e-18,0.686839921065442,0.346,0.153,1.41303843326059e-13,"12","YIF1B"
4.75248822424555e-18,0.610022752052917,0.616,0.343,1.4670931148246e-13,"12","CNPY3"
4.76636008312476e-18,0.837875092461049,0.346,0.153,1.47137535766061e-13,"12","ABI3"
4.80993784165811e-18,1.518119466048,0.321,0.144,1.48482781171986e-13,"12","AC083837.1"
4.89464148314095e-18,0.855083158035724,0.254,0.097,1.51097582584561e-13,"12","AKIP1"
